CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,014,0001,0204,012
09,014,0001,0219,022
09,015,0001,0979,010
09,015,0001,0860,014
09,015,0001,1055,008
09,015,0001,106A,005
09,015,0001,0343,005
09,015,0001,0343,009
09,015,0001,1074,012
09,015,0001,1040,020
09,015,0001,1163,012
09,015,0001,1233,020
09,015,0001,1163,004
09,015,0001,1163,011
09,015,0001,0894,013
09,015,0001,088A,006
09,015,0001,1074,020
09,015,0001,1055,010
09,015,0001,1040,019
09,015,0001,106A,002
09,015,0001,1356,005
09,015,0001,113A,015
09,015,0001,113A,015
09,015,0001,1360,008
09,015,0001,1445,005
09,014,0001,0789,015
09,015,0001,1430,008
09,015,0001,1040,020
09,007,0001,5249,001
09,010,0001,1190,011
09,007,0001,5215,018
09,010,0001,014A,013
09,010,0001,0065,001
09,010,0001,1006,008
09,010,0001,0987,010
09,015,0001,1356,016
09,015,0001,1341,012
09,015,0001,1318,022
09,015,0001,1303,007
09,011,0001,0433,008
09,011,0001,1484,039
09,010,0001,128A,011
09,011,0001,0433,023
09,012,0001,0144,008
09,012,0001,0572,001
09,013,0001,0334,002
09,013,0001,0334,003
09,007,0001,1994,034
09,010,0001,1203,009
09,010,0001,1133,033
09,015,0001,0822,022
09,014,0001,0219,014
09,014,0001,0219,006
09,015,0001,0856,004
09,014,0001,0204,005
09,014,0001,0609,018
09,012,0001,1104,014
09,012,0001,1176,014
09,016,0001,1175,010
09,016,0001,1160,001
09,016,0001,0482,028
09,016,0001,1156,018
09,016,0001,1211,004
09,017,0001,0687,007
09,016,0001,0711,026
09,017,0001,048A,004
09,016,0001,068A,009
09,016,0001,0745,006
09,017,0001,0507,015
09,016,0001,0660,009
09,016,0001,1211,009
09,016,0001,0675,001
09,016,0001,0622,018
09,015,0001,1182,014
09,016,0001,0891,015
09,016,0001,118A,011
09,015,0001,1534,006
09,016,0001,0054,016
09,015,0001,1534,007
09,016,0001,0336,006
09,015,0001,1445,002
09,015,0001,1534,008
09,015,0001,1534,010
09,015,0001,1500,022
09,005,0001,1256,009
09,004,0001,0354,009
09,012,0378,1227,800
09,007,0001,2475,032
09,007,0001,2475,020
09,007,0001,2475,020
09,007,0001,0977,004
09,012,0001,0962,007
09,007,0001,0977,007
09,015,0001,1534,003
09,016,0001,0891,001
09,007,0001,0977,007
09,014,0001,0558,008
09,014,0001,0929,024
09,015,0001,1197,005
09,013,0001,0283,001
09,014,0001,0717,004
09,015,0001,1445,003
09,005,0001,1773,009
09,015,0001,0748,023
09,017,0001,1399,022
09,014,0001,0859,007
09,015,0001,0818,008
09,014,0001,0933,001
09,017,0001,0136,001
09,015,0001,0790,019
09,015,0001,0786,009
09,015,0001,0786,002
09,014,0001,0401,008
09,016,0001,0444,017
09,006,0001,0039,007
09,006,0001,026A,005
09,017,0001,0475,005
09,010,0001,1294,010
09,015,0001,0343,004
09,015,0001,0678,006
09,015,0001,0860,009
09,013,0001,0828,022
09,006,0001,0537,009
09,003,0001,1660,006
09,017,0001,0244,008
09,017,0001,0371,001
09,015,0001,0485,020
09,007,0001,2831,024
09,004,0001,0299,006
09,016,0001,0603,018
09,015,0001,0625,005
