ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
531,CENTRO Y PLAZA COMERCIAL,WALMART PERIFARICO SUR,Insurgentes Sur,90,Desconocido,INSURGENTES CUICUILCO,4530,Desconocido,Coyoacán,531
532,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL GRAN SUR,BOULEVARD ADOLFO RUoZ CORTINES,550,Desconocido,PEDREGAL DE CARRASCO,4700,Desconocido,Coyoacán,532
533,CENTRO Y PLAZA COMERCIAL,PLAZA GIRASOLES,RANCHO SAN LORENZO,6,Desconocido,GIRASOLES,4920,Desconocido,Coyoacán,533
534,CENTRO Y PLAZA COMERCIAL,PLAZA LA HACIENDA,3 ORIENTE (AVENIDA CAFETALES),1752,Desconocido,HACIENDAS DE COYOACAN,4070,Desconocido,Coyoacán,534
535,CENTRO Y PLAZA COMERCIAL,PLAZA DEL SUR,3 ORIENTE (AVENIDA ARMADA DE MEXICO),1450,Desconocido,RESIDENCIAL CAFETALES,4918,Desconocido,Coyoacán,535
536,TIENDAS DE AUTOSERVICIO,BODEGA AURRERA,CALZ. DE LA VIRGEN,Desconocido,2799,CULHUACAN CTM CROC,4480,Desconocido,Coyoacán,536
537,CENTRO Y PLAZA COMERCIAL,PLAZA PREMIER,2 ORIENTE,754,Desconocido,ALIANZA POPULAR REVOLUCIONARIA,4800,Desconocido,Coyoacán,537
538,TIENDAS DE AUTOSERVICIO,WALMART MIRAMONTES,2 ORIENTE,753,Desconocido,LOS CIPRESES,4830,Desconocido,Coyoacán,538
539,CENTRO Y PLAZA COMERCIAL,ZAPAMUNDI,1 ORIENTE,2600,Desconocido,CIRUELOS,4830,Desconocido,Coyoacán,539
540,CENTRO Y PLAZA COMERCIAL,PLAZA XOTEPINGO,XOTEPINGO,48,Desconocido,AVANTE,4460,Desconocido,Coyoacán,540
541,CENTRO Y PLAZA COMERCIAL,PLAZA CULHUACAN,ROSA MARIA SEQUEIRA,140,Desconocido,UNIDAD HAB OBRERO CTM CULHUACAN 6,4480,Desconocido,Coyoacán,541
542,CENTRO Y PLAZA COMERCIAL,PLAZA TAXQUEZA,PASEO DE LOS CIPRESES,222,Desconocido,PASEOS DE TAXQUEOA,4250,Desconocido,Coyoacán,542
543,CENTRO Y PLAZA COMERCIAL,PLAZA ALAMO,TAXQUEAA,1285,Desconocido,CALZADA DE TAXQUEMA,4200,Desconocido,Coyoacán,543
544,CENTRO Y PLAZA COMERCIAL,PLAZA MANZANA,MIGUEL ANGEL DE QUEVEDO,2943,Desconocido,EL ROSEDAL,4330,Desconocido,Coyoacán,544
545,CENTRO Y PLAZA COMERCIAL,COMERCIUM COPILCO,10 SUR (AVENIDA PEDRO ENRdQUEZ URErA),546,Desconocido,LOS REYES,4330,Desconocido,Coyoacán,545
546,TIENDAS DE AUTOSERVICIO,CHEDRAUI,10 SUR (AVENIDA PEDRO ENRdQUEZ URErA),514,Desconocido,LOS REYES,4330,Desconocido,Coyoacán,546
547,CENTRO Y PLAZA COMERCIAL,PLAZA TIERRA SALVAJE,HEROES DEL 47,59,Desconocido,SAN MATEO,4120,Desconocido,Coyoacán,547
548,CENTRO Y PLAZA COMERCIAL,PLAZA VAQUERITOS,DIVISION DEL NTE,4901,Desconocido,SAN LUCAS,4030,Desconocido,Coyoacán,548
549,CENTRO Y PLAZA COMERCIAL,PLAZA SAN IGNACIO,MIGUEL HIDALGO,9,Desconocido,DEL CARMEN,4100,Desconocido,Coyoacán,549
550,CENTRO Y PLAZA COMERCIAL,CALLEJON SAN JOSE,XICOTENCATL,173,Desconocido,DEL CARMEN,4100,Desconocido,Coyoacán,550
